Sr.,Subject,Topic,Subtopic,Used,Used_At,Times_Shown,Last_Shown_At,Video_URL,Notes,Active
1,Deep Learning,Deep Learning Fundamentals,Deep Learning Fundamentals: Definition and Scope,FALSE,,0,,,,TRUE
2,Deep Learning,Deep Learning Fundamentals,Deep Learning Fundamentals: Historical Development,FALSE,,0,,,,TRUE
3,Deep Learning,Deep Learning Fundamentals,Deep Learning Fundamentals: Core Terminology,FALSE,,0,,,,TRUE
4,Deep Learning,Deep Learning Fundamentals,Deep Learning Fundamentals: Major Components,FALSE,,0,,,,TRUE
5,Deep Learning,Deep Learning Fundamentals,Deep Learning Fundamentals: Key Principles,FALSE,,0,,,,TRUE
6,Deep Learning,Deep Learning Fundamentals,Deep Learning Fundamentals: Common Architectures,FALSE,,0,,,,TRUE
7,Deep Learning,Deep Learning Fundamentals,Deep Learning Fundamentals: Typical Workflows,FALSE,,0,,,,TRUE
8,Deep Learning,Deep Learning Fundamentals,Deep Learning Fundamentals: Major Applications,FALSE,,0,,,,TRUE
9,Deep Learning,Deep Learning Fundamentals,Deep Learning Fundamentals: Benefits and Limitations,FALSE,,0,,,,TRUE
10,Deep Learning,Deep Learning Fundamentals,Deep Learning Fundamentals: Current Challenges,FALSE,,0,,,,TRUE
11,Deep Learning,Deep Learning Fundamentals,Deep Learning Fundamentals: Best Practices,FALSE,,0,,,,TRUE
12,Deep Learning,Deep Learning Fundamentals,Deep Learning Fundamentals: Future Directions,FALSE,,0,,,,TRUE
13,Deep Learning,Neural Network Foundations,Neural Network Foundations: Purpose and Scope,FALSE,,0,,,,TRUE
14,Deep Learning,Neural Network Foundations,Neural Network Foundations: Core Components,FALSE,,0,,,,TRUE
15,Deep Learning,Neural Network Foundations,Neural Network Foundations: Reference Architecture,FALSE,,0,,,,TRUE
16,Deep Learning,Neural Network Foundations,Neural Network Foundations: Data and Control Flow,FALSE,,0,,,,TRUE
17,Deep Learning,Neural Network Foundations,Neural Network Foundations: Interfaces and Protocols,FALSE,,0,,,,TRUE
18,Deep Learning,Neural Network Foundations,Neural Network Foundations: Design Principles,FALSE,,0,,,,TRUE
19,Deep Learning,Neural Network Foundations,Neural Network Foundations: Implementation Models,FALSE,,0,,,,TRUE
20,Deep Learning,Neural Network Foundations,Neural Network Foundations: Performance Considerations,FALSE,,0,,,,TRUE
21,Deep Learning,Neural Network Foundations,Neural Network Foundations: Reliability and Availability,FALSE,,0,,,,TRUE
22,Deep Learning,Neural Network Foundations,Neural Network Foundations: Security Considerations,FALSE,,0,,,,TRUE
23,Deep Learning,Neural Network Foundations,Neural Network Foundations: Applications,FALSE,,0,,,,TRUE
24,Deep Learning,Neural Network Foundations,Neural Network Foundations: Emerging Trends,FALSE,,0,,,,TRUE
25,Deep Learning,Perceptrons and Multilayer Networks,Perceptrons and Multilayer Networks: Purpose and Scope,FALSE,,0,,,,TRUE
26,Deep Learning,Perceptrons and Multilayer Networks,Perceptrons and Multilayer Networks: Core Components,FALSE,,0,,,,TRUE
27,Deep Learning,Perceptrons and Multilayer Networks,Perceptrons and Multilayer Networks: Reference Architecture,FALSE,,0,,,,TRUE
28,Deep Learning,Perceptrons and Multilayer Networks,Perceptrons and Multilayer Networks: Data and Control Flow,FALSE,,0,,,,TRUE
29,Deep Learning,Perceptrons and Multilayer Networks,Perceptrons and Multilayer Networks: Interfaces and Protocols,FALSE,,0,,,,TRUE
30,Deep Learning,Perceptrons and Multilayer Networks,Perceptrons and Multilayer Networks: Design Principles,FALSE,,0,,,,TRUE
31,Deep Learning,Perceptrons and Multilayer Networks,Perceptrons and Multilayer Networks: Implementation Models,FALSE,,0,,,,TRUE
32,Deep Learning,Perceptrons and Multilayer Networks,Perceptrons and Multilayer Networks: Performance Considerations,FALSE,,0,,,,TRUE
